,players,Nationality,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,SR Tendulkar, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,656,1360,1679,2768,3212,4823,5834,7728,8571,9899,10803,11544,12685,13497,13909,14537,15962,16422,17394,17598,18111,18426,18426,18426,18426,18426,18426,18426,18426
1,SC Ganguly, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,272,1610,2938,4705,6284,7097,8211,8967,9914,10123,10123,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363
2,R Dravid, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,1426,1709,3470,4450,5190,6103,6726,7751,8843,9762,10585,10585,10765,10765,10889,10889,10889,10889,10889,10889,10889,10889,10889
3,ML Hayden, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,286,286,286,286,286,286,477,788,1666,2703,3649,4131,4234,5835,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133
4,Saeed Anwar, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,773,774,780,1504,2350,2540,4135,5021,5852,6764,7638,8349,8606,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824,8824
5,MJ Guptill, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,1101,1751,2151,2557,2953,4442,5169,5553,5976,6440
6,ME Waugh, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,131,220,477,858,1603,2542,3010,4069,4745,5502,6970,7565,8374,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
7,G Kirsten, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,621,983,2425,3018,3579,4044,5511,6149,6612,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798
8,V Kohli, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,484,1479,2860,3886,5154,6208,6831,7570,9030,10232,10843
9,RT Ponting, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,929,1004,2170,3208,3718,4546,5428,6582,7422,8613,9411,10835,11113,12311,13082,13686,13704,13704,13704,13704,13704,13704,13704,13704
10,DA Warner, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,210,1050,1133,1539,2191,3579,4270,4343,4343
11,KS Williamson, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,466,822,1275,2045,3421,4120,4716,5184,5554
12,Misbah-ul-Haq, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,282,305,305,305,577,1223,1523,1554,2518,3011,4384,4669,5122,5122,5122,5122,5122
13,Mohammad Yousuf, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1049,2210,2798,4160,5328,6096,6981,7608,8650,9242,9543,9720,9720,9720,9720,9720,9720,9720,9720,9720,9720
14,BC Lara, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,274,1068,2417,2896,3702,4394,5149,5535,6166,6525,7257,7549,8437,8921,9359,10019,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405
15,KC Sangakkara, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,646,1475,2170,3180,3926,5259,6017,6959,7878,8604,9731,10915,12116,13372,14234,14234,14234,14234,14234
16,IJL Trott, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,483,1798,2208,2819,2819,2819,2819,2819,2819,2819
17,HH Gibbs, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,232,292,1097,1673,2519,3829,4522,4920,5646,6342,7222,7635,8060,8094,8094,8094,8094,8094,8094,8094,8094,8094,8094
18,Mohammad Hafeez, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,419,543,798,874,874,874,1244,2319,2795,4096,4456,5238,5404,5959,6153,6361
19,JH Kallis, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,794,1606,2550,3850,4698,5902,6497,7267,7954,8327,9314,9871,10409,11002,11372,11498,11574,11579,11579,11579,11579,11579,11579
20,RG Sharma, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,593,695,1199,1810,1978,3174,3752,4567,5131,6424,7454,8010
21,Yuvraj Singh, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,498,1157,1757,2598,3437,4286,5573,6466,7249,7598,8051,8053,8329,8329,8329,8329,8701,8701,8701
22,Ijaz Ahmed, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,389,837,1146,1594,1677,1750,1750,2226,2391,3672,4776,5575,6162,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564
23,M Azharuddin, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,972,1489,1970,2252,2774,3003,3655,4424,5113,5399,6330,7434,8702,9110,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378,9378
24,DPMD Jayawardene, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,842,1396,2656,3447,3760,4436,4958,6143,7232,7849,8518,9027,10059,10844,11401,12247,12650,12650,12650,12650,12650
25,AD Mathews, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,375,666,1171,1705,2290,3534,3972,4492,5065,5380,5381
26,AC Gilchrist, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,304,1135,2376,3102,3848,4684,5782,6661,7553,8363,9297,9619,9619,9619,9619,9619,9619,9619,9619,9619,9619,9619,9619
27,DL Haynes, (WI),0,0,0,0,0,0,0,148,446,617,911,1042,1562,2375,3607,4023,4585,5331,6338,6621,7061,7706,8380,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648
28,IVA Richards, (WI),0,0,0,0,112,328,348,357,883,1211,1367,1750,2480,3175,4406,4739,5629,5950,6442,6501,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721
29,CH Gayle, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,331,1053,2150,3131,3853,4416,5633,6244,6876,7429,7885,8087,8432,8743,8810,9221,9221,9420,9727,10151
30,PA de Silva, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,105,489,636,791,1311,1752,2222,2275,2813,3512,4224,4705,5893,7105,7799,8193,8334,8430,8894,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284,9284
31,AB de Villiers, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,687,1896,2330,3092,4056,4523,5168,6331,7210,8403,8742,9515,9577,9577
32,TM Dilshan, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,227,230,282,393,864,1191,1948,2580,2994,3994,4915,5735,6854,8014,9004,10211,10290,10290,10290,10290
33,ST Jayasuriya, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,99,109,252,599,1161,1655,2610,3788,4449,5123,6033,7235,8312,9172,9896,10219,11372,12207,12785,13428,13428,13430,13430,13430,13430,13430,13430,13430,13430,13430
34,MS Dhoni, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,914,1735,2838,3935,5133,5733,6497,7021,7774,8192,8832,9110,9898,10173,10500
35,MS Atapattu, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,43,43,43,43,127,1006,1750,2537,3479,4563,5755,6567,7296,7794,8386,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529
36,DM Jones, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,141,481,801,1738,2328,3044,4218,4690,5312,5599,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068
37,Younis Khan, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,650,1823,2508,2908,3181,3796,4413,5278,5698,5913,6657,6882,7014,7177,7249,7249,7249,7249,7249
38,MEK Hussey, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,604,1388,1835,2457,3623,4448,4862,5442,5442,5442,5442,5442,5442,5442,5442
39,S Dhawan, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,1231,2046,2791,3078,4038,4935,5355
40,SPD Smith, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,343,372,380,921,1726,2880,3329,3431,3431
41,A Jadeja, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,280,1000,1170,1959,2896,3900,5044,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359
42,SR Watson, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,288,316,454,734,1001,1263,2276,3047,4186,4563,5256,5421,5757,5757,5757,5757,5757
43,WJ Cronje, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,725,1858,2015,2948,3719,4410,4997,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565
44,V Sehwag, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,459,1589,2460,3131,4148,4756,5231,6124,6934,7380,8025,8242,8273,8273,8273,8273,8273,8273,8273
45,G Gambhir, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,294,409,1043,2162,3010,3680,4400,5085,5238,5238,5238,5238,5238,5238,5238
46,GW Flower, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,353,486,624,1096,1939,2867,3651,4299,5415,5809,6277,6536,6536,6536,6536,6536,6536,6571,6571,6571,6571,6571,6571,6571,6571,6571,6571
47,Inzamam-ul-Haq, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,898,1706,2607,3306,3809,4700,5369,6475,7549,8195,8938,9356,10267,11141,11591,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739
48,GJ Bailey, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,1539,1945,2236,3044,3044,3044,3044
49,Aamer Sohail, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,138,736,1145,2198,2682,3772,4085,4651,4704,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
50,H Masakadza, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,106,278,670,919,1243,2330,2653,2994,3006,3429,3961,4430,4710,5023,5604,5604
51,DI Gower, (ENG),0,0,0,0,0,0,0,201,503,579,720,909,1995,2196,2427,2564,2905,2905,3030,3116,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170
52,Javed Miandad, (PAK),0,0,0,0,52,99,199,256,302,349,543,1044,1337,1812,2533,3165,4249,4856,5343,5654,5795,6737,7327,7327,7327,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381,7381
53,SV Carlisle, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,66,79,79,453,1139,2221,2372,2372,2676,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
54,IR Bell, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,226,880,1960,2483,2483,2622,3234,3783,4428,4907,5416,5416,5416,5416,5416
55,GC Smith, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1343,1995,2979,3540,4619,5111,5613,5941,6360,6698,6989,6989,6989,6989,6989,6989,6989
56,DC Boon, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,39,303,1071,1727,2309,2636,3053,3379,4177,4594,5667,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964
57,RG Twose, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,612,650,650,1473,2540,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717,2717
58,JN Rhodes, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,696,1515,1659,2219,2797,3393,3779,4330,4867,5933,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935
59,PD Collingwood, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,585,996,1359,1791,2311,3375,3773,4478,4978,5092,5092,5092,5092,5092,5092,5092,5092,5092
60,WU Tharanga, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1357,1995,2133,2656,3363,4189,4941,5228,5339,5407,5621,6632,6936,6951
61,HM Amla, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,848,1906,2538,3216,4054,4946,6008,6519,7381,7696,7910
62,A Flower, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,644,869,1032,1404,2170,2942,3794,4737,5797,6454,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786
63,BC Broad, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
64,LRPL Taylor, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,852,1317,1948,2624,3185,3408,3918,4580,5626,5826,6794,7433,8026
65,DJ Cullinan, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,713,860,1894,2704,3112,3629,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860,3860
66,Shahriar Nafees, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1287,1565,1857,1857,1976,2201,2201,2201,2201,2201,2201,2201,2201,2201
67,JM Bairstow, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,119,119,119,260,458,992,2017,2329
68,JE Root, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,1498,2221,3017,4000,4946,5300
69,MJ Clarke, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,942,1896,2625,3606,4077,4945,5722,6622,7278,7581,7762,7981,7981,7981,7981,7981
70,EJG Morgan, (IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,549,600,1107,1798,2241,2605,3165,3725,4692,5020,5801,6557,6977
71,RR Sarwan, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,194,1072,1551,2342,2761,3724,4099,4500,4907,5098,5644,5644,5804,5804,5804,5804,5804,5804,5804
72,S Chanderpaul, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,309,824,1423,1581,2541,2645,3093,3717,3963,4631,5281,6229,7141,7719,8250,8648,8778,8778,8778,8778,8778,8778,8778,8778,8778
73,ADR Campbell, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,236,420,562,840,1489,2294,2997,3957,4794,5178,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185
74,MG Bevan, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,526,1286,2014,2973,3922,4803,5384,5850,6634,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912
75,Q de Kock, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,1482,1993,2850,3806,4133,4602
76,AC Hudson, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,962,1442,1512,2462,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559,2559
77,ME Trescothick, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,883,1833,2700,3370,3923,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335
78,Saleem Malik, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,27,176,427,534,1333,1872,2803,3406,3591,4245,4466,5214,5441,6345,6883,7054,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170,7170
79,SP Fleming, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,862,1570,1993,2799,3131,3708,4165,4937,5618,6539,6978,7368,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037
80,F du Plessis, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,563,1102,1892,2776,3354,4259,4693,5120
81,Yasir Hameed, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,1671,1805,1917,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028
82,BRM Taylor, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,684,1491,1790,1929,2519,3242,3985,4112,4414,4825,5258,5258,5258,6156,6156
83,Shoaib Malik, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,145,514,1134,2029,2639,3277,3984,4665,5075,5188,5223,5287,5490,5490,6097,6410,6926,7284,7526
84,JJ Roy, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,1109,1642,2536,2938
